,delta,delta_conf
migrate!467,0.037607421,0.004663104
wmbm!818,0.037605997,0.005412879
malch!409,0.037602672,0.004711642
migrate!599,0.037600743,0.003999395
migrate!607,0.03759244,0.004628481
ccmlbm!127,0.037590906,0.005478639
forbm!341,0.03758514,0.004625094
wmbm!823,0.037576032,0.004751923
migrate!479,0.037569914,0.004148378
aglparq!80,0.037567949,0.005214109
dfch!277,0.037551253,0.005481942
migrate!555,0.037548056,0.004912207
ccmqbm!148,0.037541931,0.004604594
forbm!343,0.03748776,0.003988698
hebm!377,0.037487287,0.005165369
agrbm!92,0.037478986,0.004465012
migrate!541,0.037471586,0.004801767
wrpl!842,0.037459352,0.00465817
migrate!633,0.037454236,0.004747973
aglparl!50,0.037453274,0.004864674
chmqbm!225,0.037453142,0.004554731
ccmlbm!123,0.037452081,0.004209664
wlbm!810,0.037449957,0.004580306
chmqbm!217,0.037449838,0.004955682
migrate!482,0.037436683,0.004566374
pgadd!696,0.037435874,0.004550006
pc!673,0.037431593,0.005324505
chplbm!245,0.037430304,0.003969167
wmbm!821,0.037420074,0.004544899
forbm!353,0.037413042,0.005431366
aceiadd!6,0.037411556,0.004797017
agtime!101,0.037410942,0.003383357
migrate!619,0.037401901,0.004896222
migrate!562,0.037395092,0.0042649
migrate!551,0.037391307,0.004428679
dlbm!291,0.037381407,0.004585761
dlbm!296,0.037372768,0.004688962
migrate!588,0.037364473,0.003835764
migrate!600,0.037361294,0.004577532
agrbm!93,0.037346606,0.005415556
aeeiadd!21,0.037341776,0.004153444
migrate!670,0.037338915,0.004632779
wlbm!806,0.037332712,0.003494757
rlbm!719,0.037324348,0.004133714
cebm!189,0.037301491,0.005364243
agrbm!98,0.037293282,0.005478714
forbm!345,0.037271046,0.005760103
migrate!426,0.037241865,0.004698291
wmbm!812,0.037232624,0.005399039
migrate!514,0.037217037,0.00385604
migrate!442,0.037215368,0.005137192
malch!398,0.037189294,0.005277738
rqbm!726,0.037182734,0.005375127
migrate!570,0.037174907,0.003856386
migrate!472,0.037174116,0.004892849
migrate!497,0.037148921,0.005181212
migrate!653,0.037145008,0.004535013
lifesf6!397,0.037128078,0.004114037
cebm!188,0.037116788,0.005247137
migrate!528,0.037113834,0.004392811
migrate!477,0.037096894,0.004071379
chmlbm!206,0.037089729,0.005027431
ecgradd!336,0.037086667,0.003883995
pc!674,0.037085831,0.004423749
ccmlbm!131,0.037081269,0.005189169
ecgradd!334,0.037080458,0.004507175
pc!684,0.037076909,0.005033195
dfch!282,0.037073799,0.00467201
migrate!579,0.037071136,0.004349523
forel!358,0.037063877,0.004121906
aceiadd!15,0.037053295,0.003355499
migrate!417,0.037043886,0.004947075
pgadd!692,0.037030607,0.005054949
aceiadd!10,0.037029952,0.005089461
ccmlbm!121,0.03702574,0.004507213
agtime!104,0.037014186,0.005053133
wrbm!825,0.037010656,0.004225053
migrate!590,0.037010338,0.005408991
smch!752,0.037010241,0.004531519
dfch!268,0.036998182,0.004051499
cebm!191,0.036997169,0.004543209
maxcardvasc!415,0.036992678,0.004835739
chmqbm!231,0.036990125,0.005184108
migrate!539,0.036971621,0.004815774
rlbm!720,0.036968515,0.004326168
migrate!523,0.036963553,0.004903464
wlbm!799,0.03696258,0.004366628
cvlin!266,0.036961007,0.0042893
aeeiadd!20,0.036953145,0.005433943
agtime!113,0.036948324,0.004614661
chmlbm!204,0.036944546,0.004585821
migrate!439,0.036942957,0.00475023
aeeiadd!19,0.036941363,0.004857094
agcbm!42,0.036940749,0.004277835
migrate!621,0.036926912,0.004722793
migrate!535,0.036914702,0.004593119
taxmp!768,0.036913802,0.005509456
aglparl!59,0.036903011,0.004658433
ccmqbm!141,0.036895355,0.005462246
migrate!476,0.036891963,0.00503086
foremadd!360,0.036891476,0.00473371
migrate!582,0.036890526,0.004960943
chpqbm!255,0.036890295,0.005221261
pc!686,0.036883387,0.00469784
chmqbm!223,0.03687553,0.004259035
aglparl!54,0.0368515,0.004511998
chmlbm!205,0.036849249,0.004704465
malch!405,0.036842333,0.00446508
wrbm!834,0.036837817,0.004728913
malch!401,0.036834802,0.003973617
aglparq!81,0.036830426,0.004728763
migrate!489,0.036827316,0.005792412
cebm!187,0.036818275,0.004612758
migrate!475,0.036804112,0.00524422
agrbm!96,0.03680203,0.003828821
migrate!544,0.036796881,0.004558012
pgadd!704,0.03679357,0.005188679
migrate!438,0.036776855,0.005058317
migrate!576,0.036774539,0.005082665
migrate!499,0.0367719,0.00465589
migrate!418,0.036771184,0.004933784
pgadd!701,0.036764952,0.005434645
malch!404,0.03674569,0.005652314
wrbm!829,0.036737213,0.003915249
ecgradd!333,0.036714385,0.004514841
migrate!620,0.036710471,0.004447797
wrbm!835,0.036709682,0.004025873
ccmlbm!130,0.036708715,0.005101485
ecgradd!325,0.036656973,0.004101995
rlbm!711,0.036656002,0.00452241
agtime!99,0.036648525,0.004263517
agcbm!37,0.036647624,0.004296792
